order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
58,ORD-20250316-00058,276,2025-03-16,procesando,3424.01,11,390,719.04,4156.41,paypal,same_day,,Nota del cliente: Entregar por la tarde
59,ORD-20260301-00059,263,2026-03-01,cancelado,3422.58,4,40,718.74,4044.42,credit_card,standard,2,
60,ORD-20240713-00060,116,2024-07-13,procesando,2146.53,5,380,450.77,2869.97,paypal,express,6,
61,ORD-20230529-00061,332,2023-05-29,cancelado,1219.65,12,370,256.13,1699.42,paypal,express,,
62,ORD-20231110-00062,160,2023-11-10,cancelado,220.8,19,60,46.37,285.22,paypal,express,6,Nota del cliente: Entregar por la tarde
63,ORD-20250501-00063,24,2025-05-01,procesando,908.23,16,80,190.73,1033.64,bank_transfer,pickup,3,
64,ORD-20231019-00064,277,2023-10-19,pendiente,951.73,3,460,199.86,1583.04,paypal,same_day,4,
65,ORD-20231110-00065,211,2023-11-10,procesando,2173.51,14,60,456.44,2385.66,cash_on_delivery,express,,
66,ORD-20250102-00066,90,2025-01-02,cancelado,2276.73,3,370,478.11,3056.54,debit_card,same_day,,
67,ORD-20250528-00067,77,2025-05-28,entregado,1917.12,12,380,402.6,2469.67,credit_card,express,10,
68,ORD-20250815-00068,309,2025-08-15,pendiente,1513.49,11,460,317.83,2124.84,paypal,standard,9,
69,ORD-20250724-00069,18,2025-07-24,cancelado,1071.3,1,440,224.97,1725.56,credit_card,same_day,1,
70,ORD-20230913-00070,188,2023-09-13,procesando,931.06,7,400,195.52,1461.41,paypal,express,,Nota del cliente: Llamar antes
71,ORD-20260228-00071,162,2026-02-28,cancelado,1972.95,9,210,414.32,2419.7,credit_card,standard,,
72,ORD-20250619-00072,68,2025-06-19,entregado,4456.16,18,30,935.79,4619.84,cash_on_delivery,pickup,,
73,ORD-20250607-00073,187,2025-06-07,entregado,1145.4,7,140,240.53,1445.75,debit_card,express,,Nota del cliente: Envolver para regalo
74,ORD-20250509-00074,164,2025-05-09,pendiente,1145.07,9,130,240.46,1412.47,bank_transfer,pickup,,
75,ORD-20241108-00075,107,2024-11-08,cancelado,7337.72,5,300,1540.92,8811.75,paypal,standard,,
76,ORD-20230806-00076,275,2023-08-06,cancelado,1187.7,15,380,249.42,1638.97,credit_card,express,,
77,ORD-20230404-00077,32,2023-04-04,pendiente,1143.03,4,260,240.04,1597.35,credit_card,same_day,,
78,ORD-20241129-00078,73,2024-11-29,procesando,999.88,11,450,209.97,1549.86,bank_transfer,pickup,,
79,ORD-20230624-00079,79,2023-06-24,cancelado,523.62,4,0,109.96,612.64,debit_card,standard,,
80,ORD-20250318-00080,168,2025-03-18,procesando,2714.8,2,260,570.11,3490.61,paypal,pickup,,
81,ORD-20230713-00081,115,2023-07-13,enviado,325.85,11,300,68.43,658.44,bank_transfer,express,7,
82,ORD-20240726-00082,96,2024-07-26,procesando,3045.67,19,110,639.59,3216.58,bank_transfer,pickup,,Nota del cliente: Dejar en portería
83,ORD-20250504-00083,331,2025-05-04,procesando,909.45,12,330,190.98,1321.3,paypal,pickup,,
84,ORD-20231015-00084,330,2023-10-15,pendiente,270.04,9,30,56.71,332.45,debit_card,same_day,,
85,ORD-20230328-00085,71,2023-03-28,entregado,2007.54,5,10,421.58,2338.74,bank_transfer,same_day,,
86,ORD-20231219-00086,148,2023-12-19,enviado,2692.25,14,260,565.37,3140.71,debit_card,same_day,5,
87,ORD-20240920-00087,189,2024-09-20,procesando,974.16,10,160,204.57,1241.31,bank_transfer,express,5,
88,ORD-20241018-00088,170,2024-10-18,entregado,2426.2,1,40,509.5,2951.44,credit_card,pickup,,
89,ORD-20250920-00089,54,2025-09-20,procesando,292.25,7,10,61.37,343.16,cash_on_delivery,same_day,,
90,ORD-20231231-00090,250,2023-12-31,entregado,2272.12,8,210,477.15,2777.5,bank_transfer,same_day,5,
91,ORD-20241028-00091,82,2024-10-28,procesando,1730.86,1,30,363.48,2107.03,cash_on_delivery,standard,8,
92,ORD-20241231-00092,205,2024-12-31,entregado,2874.53,15,470,603.65,3517,debit_card,standard,,
93,ORD-20240229-00093,182,2024-02-29,pendiente,2457.03,1,60,515.98,3008.44,paypal,pickup,,
94,ORD-20231220-00094,115,2023-12-20,entregado,1736.51,0,240,364.67,2341.18,paypal,pickup,,
95,ORD-20240516-00095,46,2024-05-16,enviado,411.54,17,0,86.42,428,credit_card,standard,,
96,ORD-20260102-00096,206,2026-01-02,cancelado,3206.46,18,110,673.36,3412.66,cash_on_delivery,same_day,,Nota del cliente: Llamar antes
97,ORD-20260304-00097,254,2026-03-04,pendiente,622.92,18,180,130.81,821.6,paypal,same_day,,
98,ORD-20240309-00098,141,2024-03-09,procesando,2523.6,12,180,529.96,2930.73,cash_on_delivery,pickup,2,
99,ORD-20230809-00099,284,2023-08-09,procesando,1189.69,20,280,249.83,1481.58,debit_card,standard,10,
100,ORD-20250705-00100,305,2025-07-05,enviado,3380.4,14,50,709.88,3667.02,bank_transfer,express,,
101,ORD-20240427-00101,284,2024-04-27,procesando,3201.47,7,230,672.31,3879.68,debit_card,express,3,
102,ORD-20240914-00102,100,2024-09-14,enviado,1184.57,7,220,248.76,1570.41,credit_card,express,,Nota del cliente: Llamar antes
103,ORD-20240709-00103,67,2024-07-09,procesando,955.93,8,180,200.75,1260.21,bank_transfer,express,2,Nota del cliente: Llamar antes
104,ORD-20240806-00104,275,2024-08-06,enviado,2062.56,12,320,433.14,2568.19,debit_card,same_day,,
105,ORD-20260222-00105,253,2026-02-22,enviado,2106.59,10,120,442.38,2458.31,credit_card,express,,
106,ORD-20251104-00106,55,2025-11-04,pendiente,3626.12,14,50,761.49,3929.95,bank_transfer,standard,1,
107,ORD-20250515-00107,191,2025-05-15,procesando,498.8,15,360,104.75,888.73,paypal,express,,
108,ORD-20250907-00108,220,2025-09-07,pendiente,1833.45,13,290,385.02,2270.12,debit_card,same_day,1,
109,ORD-20240330-00109,319,2024-03-30,pendiente,2325.24,9,460,488.3,3064.27,bank_transfer,express,,
110,ORD-20230619-00110,319,2023-06-19,pendiente,4377.4,4,20,919.25,5141.55,paypal,same_day,8,Nota del cliente: Dejar en portería
111,ORD-20251119-00111,105,2025-11-19,pendiente,4716.04,14,360,990.37,5406.16,bank_transfer,standard,,
112,ORD-20240826-00112,97,2024-08-26,cancelado,3774.69,16,380,792.68,4343.42,credit_card,pickup,,Nota del cliente: Entregar por la tarde
113,ORD-20240530-00113,255,2024-05-30,pendiente,652.62,10,340,137.05,1064.41,credit_card,pickup,,
114,ORD-20231003-00114,241,2023-10-03,cancelado,6646.13,16,340,1395.69,7318.44,cash_on_delivery,same_day,,
115,ORD-20240926-00115,139,2024-09-26,procesando,5622.4,3,0,1180.7,6634.43,debit_card,express,,Nota del cliente: Dejar en portería
116,ORD-20230827-00116,324,2023-08-27,entregado,2147.66,6,470,451.01,2939.81,debit_card,pickup,4,Nota del cliente: Entregar por la tarde
117,ORD-20250123-00117,206,2025-01-23,enviado,3525.64,5,60,740.38,4149.74,cash_on_delivery,standard,,
118,ORD-20260224-00118,90,2026-02-24,entregado,3347.66,18,200,703.01,3648.09,cash_on_delivery,pickup,,
119,ORD-20260111-00119,4,2026-01-11,cancelado,232.45,7,330,48.81,594.99,credit_card,express,,Nota del cliente: Entregar por la tarde
120,ORD-20230606-00120,121,2023-06-06,entregado,3235.09,6,100,679.37,3820.35,paypal,standard,,
121,ORD-20260218-00121,34,2026-02-18,enviado,5207.17,17,220,1093.51,5635.46,bank_transfer,same_day,,
122,ORD-20230813-00122,41,2023-08-13,enviado,3579.83,6,200,751.76,4316.8,credit_card,standard,,
123,ORD-20241119-00123,75,2024-11-19,procesando,1445.87,20,230,303.63,1690.33,bank_transfer,standard,,
124,ORD-20241225-00124,209,2024-12-25,enviado,35.88,5,390,7.53,431.62,debit_card,pickup,,
125,ORD-20250404-00125,15,2025-04-04,cancelado,2354.87,2,460,494.52,3262.29,debit_card,express,,
126,ORD-20240308-00126,312,2024-03-08,pendiente,2745.58,0,380,576.57,3702.15,bank_transfer,express,4,Nota del cliente: Envolver para regalo
127,ORD-20251031-00127,128,2025-10-31,procesando,883.2,7,260,185.47,1266.85,cash_on_delivery,same_day,,
128,ORD-20231115-00128,278,2023-11-15,entregado,5640.44,2,460,1184.49,7172.12,credit_card,same_day,,Nota del cliente: Envolver para regalo
129,ORD-20251006-00129,57,2025-10-06,pendiente,1452.77,14,400,305.08,1954.46,bank_transfer,express,,
130,ORD-20241015-00130,121,2024-10-15,enviado,1233.5,8,410,259.04,1803.86,debit_card,standard,3,
131,ORD-20250217-00131,122,2025-02-17,pendiente,994.44,8,370,208.83,1493.71,bank_transfer,pickup,,
132,ORD-20230803-00132,73,2023-08-03,procesando,560.21,15,200,117.64,793.82,bank_transfer,standard,,
133,ORD-20230830-00133,238,2023-08-30,procesando,2403.05,13,460,504.64,3055.29,bank_transfer,pickup,,
134,ORD-20231108-00134,158,2023-11-08,enviado,1807.8,15,290,379.64,2206.27,bank_transfer,same_day,,
135,ORD-20230809-00135,97,2023-08-09,procesando,1686.82,1,120,354.23,2144.18,cash_on_delivery,same_day,,
136,ORD-20251228-00136,12,2025-12-28,enviado,811.17,17,380,170.35,1223.62,credit_card,same_day,,
137,ORD-20230417-00137,193,2023-04-17,enviado,84.3,12,200,17.7,291.88,bank_transfer,express,,
138,ORD-20230506-00138,53,2023-05-06,procesando,2905.99,16,250,610.26,3301.29,bank_transfer,standard,8,
139,ORD-20250715-00139,179,2025-07-15,enviado,4135.04,10,210,868.36,4799.9,bank_transfer,pickup,,
140,ORD-20231110-00140,218,2023-11-10,enviado,1221.79,4,0,256.58,1429.5,debit_card,express,,
141,ORD-20240325-00141,192,2024-03-25,procesando,1336.47,12,290,280.66,1746.75,debit_card,standard,,
142,ORD-20231104-00142,232,2023-11-04,pendiente,4420.92,14,190,928.39,4920.38,debit_card,same_day,9,
143,ORD-20240211-00143,235,2024-02-11,pendiente,3780.98,7,470,794.01,4780.32,credit_card,standard,,
144,ORD-20251205-00144,213,2025-12-05,procesando,2477.2,4,390,520.21,3288.32,paypal,pickup,,
145,ORD-20231002-00145,235,2023-10-02,enviado,4687.04,11,110,984.28,5265.75,bank_transfer,express,1,
146,ORD-20231115-00146,115,2023-11-15,cancelado,3642.16,8,220,764.85,4335.64,cash_on_delivery,same_day,,Nota del cliente: Llamar antes
147,ORD-20230713-00147,163,2023-07-13,enviado,1039.86,13,110,218.37,1233.05,bank_transfer,same_day,,
148,ORD-20230416-00148,210,2023-04-16,cancelado,3308.06,19,330,694.69,3704.22,debit_card,pickup,10,
149,ORD-20250313-00149,98,2025-03-13,entregado,2043.78,6,330,429.19,2680.34,credit_card,same_day,,
150,ORD-20230214-00150,216,2023-02-14,enviado,1726.74,17,390,362.62,2185.81,paypal,express,6,
151,ORD-20240620-00151,13,2024-06-20,enviado,1183.05,20,170,248.44,1364.88,credit_card,same_day,,
152,ORD-20240705-00152,137,2024-07-05,enviado,3205.2,12,240,673.09,3733.67,credit_card,express,9,
153,ORD-20230804-00153,148,2023-08-04,pendiente,945.98,9,470,198.66,1529.5,cash_on_delivery,same_day,,
154,ORD-20251031-00154,326,2025-10-31,procesando,3656.69,7,380,767.9,4548.62,credit_card,same_day,,
155,ORD-20260208-00155,211,2026-02-08,enviado,2667.8,6,90,560.24,3157.97,paypal,standard,,
156,ORD-20240810-00156,143,2024-08-10,enviado,1506.03,4,10,316.27,1772.06,debit_card,pickup,5,
157,ORD-20240126-00157,330,2024-01-26,entregado,3292.83,15,450,691.49,3940.4,paypal,express,,
158,ORD-20241207-00158,14,2024-12-07,cancelado,839.55,11,360,176.31,1283.51,paypal,same_day,3,
159,ORD-20250920-00159,223,2025-09-20,cancelado,2977.3,18,340,625.23,3406.62,cash_on_delivery,pickup,,
160,ORD-20250415-00160,174,2025-04-15,enviado,2715.69,16,340,570.29,3191.47,cash_on_delivery,standard,,
161,ORD-20230703-00161,210,2023-07-03,enviado,2926.25,3,340,614.51,3792.97,debit_card,express,6,Nota del cliente: Llamar antes
162,ORD-20251031-00162,185,2025-10-31,cancelado,3789.89,3,280,795.88,4752.07,paypal,express,,
163,ORD-20230721-00163,41,2023-07-21,pendiente,4486.6,17,190,942.19,4856.07,debit_card,pickup,,
164,ORD-20250329-00164,12,2025-03-29,cancelado,1841.44,0,330,386.7,2558.14,credit_card,express,,Nota del cliente: Llamar antes
165,ORD-20240209-00165,272,2024-02-09,entregado,231.92,19,220,48.7,456.56,debit_card,standard,,
166,ORD-20240510-00166,235,2024-05-10,procesando,1272.37,20,360,267.2,1645.1,credit_card,pickup,9,
167,ORD-20250102-00167,277,2025-01-02,entregado,5393.35,11,490,1132.6,6422.68,cash_on_delivery,express,,
168,ORD-20240526-00168,269,2024-05-26,cancelado,412.92,3,230,86.71,717.24,credit_card,same_day,,
169,ORD-20230318-00169,256,2023-03-18,cancelado,299.89,7,210,62.98,551.88,bank_transfer,same_day,,
170,ORD-20231124-00170,161,2023-11-24,pendiente,489.85,15,210,102.87,729.24,cash_on_delivery,express,7,
171,ORD-20230929-00171,268,2023-09-29,entregado,1030.48,13,380,216.4,1492.92,debit_card,express,,
172,ORD-20240902-00172,170,2024-09-02,cancelado,4068.03,16,250,854.29,4521.44,credit_card,pickup,,Nota del cliente: Entregar por la tarde
173,ORD-20260124-00173,238,2026-01-24,cancelado,3052.59,18,360,641.04,3504.16,debit_card,standard,,
174,ORD-20260301-00174,210,2026-03-01,cancelado,2014.82,16,190,423.11,2305.56,debit_card,standard,,Nota del cliente: Dejar en portería
175,ORD-20240810-00175,296,2024-08-10,pendiente,2091.39,13,410,439.19,2668.7,cash_on_delivery,pickup,,
176,ORD-20250831-00176,108,2025-08-31,cancelado,3697.09,13,30,776.39,4022.86,paypal,standard,,
177,ORD-20251026-00177,282,2025-10-26,cancelado,2647.74,16,470,556.03,3250.13,credit_card,pickup,,
178,ORD-20240503-00178,156,2024-05-03,procesando,2254.95,15,290,473.54,2680.25,debit_card,standard,,Nota del cliente: Entregar por la tarde
179,ORD-20241205-00179,334,2024-12-05,pendiente,2190.78,6,100,460.06,2619.39,bank_transfer,pickup,,
180,ORD-20240828-00180,69,2024-08-28,procesando,2933.52,14,390,616.04,3528.87,credit_card,same_day,,Nota del cliente: Envolver para regalo
181,ORD-20230729-00181,90,2023-07-29,cancelado,3241.87,12,120,680.79,3653.64,bank_transfer,standard,,
182,ORD-20230227-00182,316,2023-02-27,cancelado,2286.74,4,310,480.22,2985.49,paypal,express,,
183,ORD-20240222-00183,96,2024-02-22,entregado,459.01,2,310,96.39,856.22,paypal,express,1,
184,ORD-20240115-00184,184,2024-01-15,pendiente,214.26,6,490,44.99,736.39,cash_on_delivery,pickup,,
185,ORD-20250914-00185,7,2025-09-14,procesando,2847.93,0,230,598.07,3676,debit_card,standard,,
186,ORD-20250217-00186,148,2025-02-17,entregado,1265.24,7,320,265.7,1762.37,cash_on_delivery,standard,10,
187,ORD-20251211-00187,128,2025-12-11,enviado,1089.64,16,250,228.82,1394.12,debit_card,pickup,10,
188,ORD-20260108-00188,50,2026-01-08,entregado,2013.03,17,120,422.74,2213.55,bank_transfer,pickup,,Nota del cliente: Envolver para regalo
189,ORD-20260225-00189,144,2026-02-25,procesando,757.22,15,260,159.02,1062.66,credit_card,standard,,
190,ORD-20230129-00190,321,2023-01-29,procesando,544.13,3,460,114.27,1102.08,debit_card,express,,
191,ORD-20230222-00191,8,2023-02-22,enviado,1070.33,16,60,224.77,1183.85,credit_card,same_day,,
192,ORD-20250519-00192,151,2025-05-19,enviado,1264.68,0,360,265.58,1890.26,cash_on_delivery,pickup,,
193,ORD-20250116-00193,73,2025-01-16,pendiente,2750.54,5,300,577.61,3490.62,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
194,ORD-20260117-00194,260,2026-01-17,enviado,2956.69,18,170,620.9,3215.39,paypal,standard,,
195,ORD-20251213-00195,198,2025-12-13,enviado,4884.66,1,450,1025.78,6311.59,debit_card,pickup,,Nota del cliente: Llamar antes
196,ORD-20230117-00196,9,2023-01-17,cancelado,271.62,16,110,57.04,395.2,debit_card,standard,,
197,ORD-20230615-00197,178,2023-06-15,procesando,2378.41,10,170,499.47,2810.04,cash_on_delivery,same_day,,
198,ORD-20240603-00198,104,2024-06-03,cancelado,867.92,3,350,182.26,1374.14,cash_on_delivery,same_day,2,
199,ORD-20240614-00199,90,2024-06-14,cancelado,4187.52,4,440,879.38,5339.4,credit_card,pickup,,Nota del cliente: Dejar en portería
200,ORD-20251115-00200,332,2025-11-15,cancelado,2743.55,5,150,576.15,3332.52,paypal,standard,,
201,ORD-20250829-00201,323,2025-08-29,procesando,385.06,20,30,80.86,418.91,cash_on_delivery,express,,
202,ORD-20240218-00202,319,2024-02-18,pendiente,5704.4,1,330,1197.92,7175.28,bank_transfer,same_day,,
203,ORD-20231116-00203,166,2023-11-16,entregado,2012.84,20,260,422.7,2292.97,credit_card,pickup,,
204,ORD-20241010-00204,221,2024-10-10,enviado,1848.92,2,110,388.27,2310.21,credit_card,express,,Nota del cliente: Llamar antes
205,ORD-20250517-00205,22,2025-05-17,pendiente,1425.93,4,40,299.45,1708.34,paypal,pickup,7,
206,ORD-20250724-00206,37,2025-07-24,entregado,164.98,0,340,34.65,539.63,cash_on_delivery,standard,,
207,ORD-20250305-00207,69,2025-03-05,cancelado,3669.03,12,30,770.5,4029.25,paypal,standard,,
208,ORD-20230131-00208,26,2023-01-31,enviado,2139.7,10,80,449.34,2455.07,debit_card,same_day,,Nota del cliente: Dejar en portería
209,ORD-20230802-00209,198,2023-08-02,entregado,1376.26,18,460,289.01,1877.54,bank_transfer,same_day,,
210,ORD-20240518-00210,287,2024-05-18,enviado,3303.84,19,200,693.81,3569.92,bank_transfer,pickup,,
211,ORD-20250202-00211,152,2025-02-02,enviado,1989.26,17,220,417.74,2288.83,paypal,standard,,Nota del cliente: Dejar en portería
212,ORD-20250401-00212,107,2025-04-01,procesando,3956.03,17,190,830.77,4304.27,credit_card,same_day,3,
213,ORD-20250917-00213,25,2025-09-17,cancelado,210.53,20,90,44.21,302.63,debit_card,pickup,1,
214,ORD-20251021-00214,59,2025-10-21,cancelado,2390.98,4,380,502.11,3177.45,debit_card,standard,,
215,ORD-20240108-00215,280,2024-01-08,cancelado,5127.9,5,330,1076.86,6278.37,bank_transfer,same_day,1,
216,ORD-20260207-00216,20,2026-02-07,entregado,1954.32,20,130,410.41,2103.87,credit_card,standard,,
217,ORD-20240428-00217,158,2024-04-28,enviado,2989.22,8,430,627.74,3807.82,debit_card,pickup,,
218,ORD-20230611-00218,82,2023-06-11,procesando,2189.76,19,370,459.85,2603.56,cash_on_delivery,standard,9,
219,ORD-20240923-00219,218,2024-09-23,procesando,3684.5,13,370,773.75,4349.27,bank_transfer,express,,
220,ORD-20240627-00220,108,2024-06-27,procesando,1729.1,1,410,363.11,2484.92,credit_card,express,,
221,ORD-20250730-00221,139,2025-07-30,cancelado,3239.61,18,240,680.32,3576.8,paypal,pickup,,
222,ORD-20230730-00222,28,2023-07-30,procesando,2657.7,2,210,558.12,3372.67,debit_card,express,,
223,ORD-20231023-00223,108,2023-10-23,procesando,2544.51,16,210,534.35,2881.74,bank_transfer,standard,,
224,ORD-20250523-00224,121,2025-05-23,cancelado,908.9,12,440,190.87,1430.7,debit_card,same_day,,
225,ORD-20251027-00225,158,2025-10-27,pendiente,4517.45,9,140,948.66,5199.54,credit_card,standard,10,
226,ORD-20251225-00226,325,2025-12-25,cancelado,4799.81,4,420,1007.96,6035.78,credit_card,standard,,
227,ORD-20240213-00227,5,2024-02-13,procesando,2160.55,2,370,453.72,2941.06,bank_transfer,standard,1,
228,ORD-20231014-00228,315,2023-10-14,cancelado,559.67,4,30,117.53,684.81,debit_card,standard,,
229,ORD-20240907-00229,192,2024-09-07,pendiente,2117.41,9,50,444.66,2421.5,credit_card,standard,,
230,ORD-20260211-00230,84,2026-02-11,enviado,982.73,1,230,206.37,1409.27,credit_card,same_day,,
231,ORD-20260115-00231,69,2026-01-15,pendiente,4571.74,19,190,960.07,4853.18,bank_transfer,standard,,Nota del cliente: Dejar en portería
232,ORD-20230811-00232,127,2023-08-11,enviado,1381.3,17,80,290.07,1516.55,cash_on_delivery,pickup,8,
233,ORD-20231015-00233,262,2023-10-15,procesando,244.85,19,150,51.42,399.75,cash_on_delivery,express,,
234,ORD-20250116-00234,234,2025-01-16,procesando,877.84,13,240,184.35,1188.07,paypal,same_day,8,Nota del cliente: Envolver para regalo
235,ORD-20230129-00235,182,2023-01-29,procesando,2900.35,20,330,609.07,3259.35,credit_card,same_day,,
236,ORD-20230808-00236,38,2023-08-08,procesando,3504.39,18,410,735.92,4019.52,credit_card,pickup,,Nota del cliente: Dejar en portería
237,ORD-20250716-00237,228,2025-07-16,enviado,7324.2,8,470,1538.08,8746.34,cash_on_delivery,standard,9,
238,ORD-20231005-00238,179,2023-10-05,enviado,1689.1,12,230,354.71,2071.12,bank_transfer,express,,
