inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
75,40,4,72,32,635,2025-05-19
76,40,2,128,15,767,2024-05-17
77,41,3,69,11,684,2024-07-02
78,41,5,398,50,610,2024-01-28
79,41,3,177,47,729,2024-01-24
80,42,4,436,46,869,2025-10-12
81,42,4,324,22,647,2024-09-10
82,42,2,73,34,969,2025-10-15
83,43,5,493,40,991,2026-01-27
84,43,3,347,14,766,2025-02-02
85,44,5,106,13,201,2024-04-04
86,44,2,107,22,645,2024-04-25
87,44,3,73,30,736,2024-10-12
88,45,3,176,10,377,2024-01-01
89,46,4,440,31,561,2024-03-15
90,47,3,106,35,905,2024-05-19
91,47,2,336,40,504,2024-02-16
92,48,1,426,44,673,2025-02-01
93,48,1,67,42,403,2024-01-02
94,48,3,327,34,998,2024-11-27
95,49,1,51,44,939,2025-02-24
96,49,3,130,23,584,2024-03-25
97,50,2,22,14,387,2024-12-30
98,50,5,308,27,918,2025-07-03
99,51,1,498,14,328,2024-07-11
100,51,1,175,47,577,2025-12-02
101,52,4,420,11,411,2025-04-14
102,53,4,300,32,606,2024-04-30
103,53,5,348,33,892,2025-10-23
104,54,4,29,18,724,2024-09-21
105,54,2,423,19,601,2025-10-05
106,54,3,56,19,284,2025-05-03
107,55,4,464,45,494,2025-07-23
108,56,4,248,44,225,2024-12-14
109,56,3,258,37,219,2024-07-30
110,57,1,195,27,906,2024-02-01
111,58,3,274,12,542,2024-07-21
112,58,5,80,33,608,2025-04-15
113,59,5,386,46,800,2024-02-01
114,60,5,68,47,655,2024-09-02
115,61,5,497,50,349,2024-08-12
116,62,2,458,48,360,2025-10-19
117,63,1,231,25,891,2024-01-30
118,63,2,57,35,996,2025-01-28
119,64,5,304,42,343,2025-08-16
120,64,5,190,48,836,2024-12-13
121,65,5,332,31,641,2024-10-02
122,66,4,106,41,962,2025-05-21
123,66,3,258,20,876,2025-06-21
124,67,2,447,35,386,2024-11-14
125,67,3,116,38,982,2024-09-08
126,68,1,290,21,987,2024-06-14
127,69,5,92,22,708,2025-09-11
128,69,3,91,19,753,2025-01-11
129,70,5,4,37,410,2025-09-25
130,70,1,220,22,641,2024-02-10
131,71,2,285,14,536,2025-04-13
132,72,4,280,49,862,2024-03-07
133,72,1,288,22,731,2024-07-23
134,73,3,261,43,632,2024-01-13
135,73,3,6,34,890,2025-08-21
136,73,1,173,39,554,2024-04-07
137,74,5,220,21,323,2024-09-25
138,74,2,318,32,653,2024-10-17
139,74,1,432,33,360,2024-08-31
140,75,4,44,17,466,2025-01-26
141,75,5,49,32,610,2025-03-09
142,76,3,125,13,409,2026-02-12
143,76,2,107,11,745,2025-01-12
144,77,3,225,37,992,2024-11-11
145,78,4,129,18,801,2024-03-09
146,78,3,18,37,618,2025-08-16
147,79,4,109,23,461,2025-08-17
148,79,2,103,40,904,2025-07-27
149,79,1,328,48,954,2025-03-01
150,80,4,228,31,259,2025-09-09
151,80,5,332,21,389,2025-01-29
152,81,4,442,30,647,2025-04-08
153,81,2,147,29,728,2025-11-22
154,82,3,20,23,415,2024-10-25
155,83,1,366,49,211,2025-11-24
156,83,4,406,32,247,2025-07-22
157,84,2,498,23,623,2024-01-08
158,85,3,32,49,603,2025-11-08
159,85,2,414,34,417,2024-04-15
160,85,1,380,47,394,2025-02-18
161,86,2,65,43,362,2024-02-12
162,87,1,319,38,213,2024-06-16
163,87,4,207,30,629,2025-12-06
164,88,3,130,32,661,2024-04-25
165,88,5,496,31,972,2024-11-26
166,89,2,160,16,914,2025-08-17
167,89,3,394,47,534,2025-07-02
168,89,5,270,26,475,2025-07-19
169,90,1,234,41,546,2024-08-08
170,90,2,58,28,359,2024-11-02
171,91,2,156,42,584,2024-08-01
172,92,5,400,28,261,2024-01-15
173,93,2,271,27,431,2024-05-24
174,94,1,152,13,965,2024-02-12
175,95,4,433,48,273,2024-02-26
176,95,3,61,16,457,2024-12-25
177,96,4,199,27,480,2026-01-15
178,96,1,387,30,559,2025-02-24
179,97,1,114,21,592,2024-02-16
180,98,2,452,28,921,2025-10-15
181,98,4,464,42,410,2024-11-08
182,99,2,344,45,913,2025-07-16
183,99,4,64,18,558,2025-01-24
184,100,4,381,25,853,2024-02-06
185,100,5,133,38,672,2024-06-23
186,100,2,193,31,337,2025-03-21
